key,date,site,ecoli,ente
22w24-3-PNT,2022-06-13T00:00:00Z,La_Puntilla,20,11
22w24-4-HTC,2022-06-13T00:00:00Z,Hotel_Cristina,4,6
22w24-5-HTI,2022-06-13T00:00:00Z,Reina_Isabel,0,4
22w24-6-PCH,2022-06-13T00:00:00Z,Playa_Chica,4,3
22w24-7-PVJ,2022-06-13T00:00:00Z,Pena_la_Vieja,6,0
22w24-9-CCR,2022-06-13T00:00:00Z,Cicer,0,1
22w25-3-PNT,2022-06-20T00:00:00Z,La_Puntilla,13,11
22w25-4-HTC,2022-06-20T00:00:00Z,Hotel_Cristina,21,45
22w25-5-HTI,2022-06-20T00:00:00Z,Reina_Isabel,15,23
22w25-6-PCH,2022-06-20T00:00:00Z,Playa_Chica,39,8
22w25-7-PVJ,2022-06-20T00:00:00Z,Pena_la_Vieja,7,1
22w25-9-CCR,2022-06-20T00:00:00Z,Cicer,4,1
22w26-3-PNT,2022-06-27T00:00:00Z,La_Puntilla,13,2
22w26-4-HTC,2022-06-27T00:00:00Z,Hotel_Cristina,2,1
22w26-5-HTI,2022-06-27T00:00:00Z,Reina_Isabel,4,2
22w26-6-PCH,2022-06-27T00:00:00Z,Playa_Chica,26,3
22w26-7-PVJ,2022-06-27T00:00:00Z,Pena_la_Vieja,2,0
22w26-9-CCR,2022-06-27T00:00:00Z,Cicer,0,1
22w27-2-CFS,2022-07-04T00:00:00Z,Confital_2,4,75
22w27-3-PNT,2022-07-04T00:00:00Z,La_Puntilla,5,28
22w27-4-HTC,2022-07-04T00:00:00Z,Hotel_Cristina,8,4
22w27-5-HTI,2022-07-04T00:00:00Z,Reina_Isabel,17,3
22w27-6-PCH,2022-07-04T00:00:00Z,Playa_Chica,20,13
22w27-7-PVJ,2022-07-04T00:00:00Z,Pena_la_Vieja,20,4
22w27-9-CCR,2022-07-04T00:00:00Z,Cicer,1,0
22w28-3-PNT,2022-07-11T00:00:00Z,La_Puntilla,3,81
22w28-4-HTC,2022-07-11T00:00:00Z,Hotel_Cristina,10,11
22w28-5-HTI,2022-07-11T00:00:00Z,Reina_Isabel,12,0
22w28-6-PCH,2022-07-11T00:00:00Z,Playa_Chica,110,3
22w28-7-PVJ,2022-07-11T00:00:00Z,Pena_la_Vieja,8,0
22w28-9-CCR,2022-07-11T00:00:00Z,Cicer,7,1
22w29-2-CFS,2022-07-18T00:00:00Z,Confital_2,1,160
22w29-3-PNT,2022-07-18T00:00:00Z,La_Puntilla,4,2
22w29-4-HTC,2022-07-18T00:00:00Z,Hotel_Cristina,9,13
22w29-5-HTI,2022-07-18T00:00:00Z,Reina_Isabel,55,5
22w29-6-PCH,2022-07-18T00:00:00Z,Playa_Chica,5,15
